id,request_id,candidate_id,hire_date,end_date
"HIRE-440","REQ-0167","SYN-00440","2026-03-18",""
"HIRE-441","REQ-0167","SYN-00441","2026-03-16",""
"HIRE-442","REQ-0168","SYN-00442","2026-06-18",""
"HIRE-443","REQ-0169","SYN-00443","2026-04-30","2026-06-05"
"HIRE-444","REQ-0169","SYN-00444","2026-05-23",""
"HIRE-445","REQ-0170","SYN-00445","2026-03-19",""
"HIRE-446","REQ-0170","SYN-00446","2026-03-25",""
"HIRE-447","REQ-0170","SYN-00447","2026-03-30",""
"HIRE-448","REQ-0171","SYN-00448","2026-04-29",""
"HIRE-449","REQ-0171","SYN-00449","2026-05-26","2026-06-22"
"HIRE-450","REQ-0171","SYN-00450","2026-06-06","2026-06-18"
"HIRE-451","REQ-0172","SYN-00451","2026-07-13",""
"HIRE-452","REQ-0172","SYN-00452","2026-07-09",""
"HIRE-453","REQ-0172","SYN-00453","2026-06-21",""
"HIRE-454","REQ-0172","SYN-00454","2026-06-26",""
"HIRE-455","REQ-0172","SYN-00455","2026-07-02",""
"HIRE-456","REQ-0173","SYN-00456","2026-03-11","2026-06-16"
"HIRE-457","REQ-0173","SYN-00457","2026-03-29",""
"HIRE-458","REQ-0173","SYN-00458","2026-03-28",""
"HIRE-459","REQ-0173","SYN-00459","2026-03-06","2026-08-06"
"HIRE-460","REQ-0173","SYN-00460","2026-03-26",""
"HIRE-461","REQ-0173","SYN-00461","2026-03-18",""
"HIRE-462","REQ-0174","SYN-00462","2026-07-08",""
"HIRE-463","REQ-0175","SYN-00463","2026-02-22",""
"HIRE-464","REQ-0176","SYN-00464","2026-09-02",""
"HIRE-465","REQ-0176","SYN-00465","2026-09-07",""
"HIRE-466","REQ-0177","SYN-00466","2026-08-08",""
"HIRE-467","REQ-0177","SYN-00467","2026-07-21",""
"HIRE-468","REQ-0177","SYN-00468","2026-08-04",""
"HIRE-469","REQ-0177","SYN-00469","2026-07-17",""
"HIRE-470","REQ-0177","SYN-00470","2026-08-18",""
"HIRE-471","REQ-0178","SYN-00471","2026-09-12",""
"HIRE-472","REQ-0178","SYN-00472","2026-09-08",""
"HIRE-473","REQ-0178","SYN-00473","2026-09-09",""
"HIRE-474","REQ-0179","SYN-00474","2026-07-05",""
"HIRE-475","REQ-0179","SYN-00475","2026-07-22",""
"HIRE-476","REQ-0179","SYN-00476","2026-07-16",""
"HIRE-477","REQ-0180","SYN-00477","2026-07-01",""
